,repo_name,star,fork,watch,issue,tags,description,contributers,license,repo_url,most_used_lang
1156,dotfiles,60,3,60,0,"['shell', 'dotfiles', 'bash']",,1,,https://github.com/josh/dotfiles.git,Shell
1157,emacs.d,23,6,23,0,[],My Emacs config,1,,https://github.com/josh/emacs.d.git,Emacs Lisp
1158,google-domains-ddns,4,0,4,0,[],,1,mit,https://github.com/josh/google-domains-ddns.git,Dockerfile
1159,hktwiliocallbox,0,0,0,0,[],,1,mit,https://github.com/josh/hktwiliocallbox.git,Go
1160,homebrew-core,0,0,0,0,[],🍻 Default formulae for the missing package manager for macOS,30,bsd-2-clause,https://github.com/josh/homebrew-core.git,
1161,homebrew-tap,0,0,0,0,[],Homebrew custom formulas for @josh repositories.,1,mit,https://github.com/josh/homebrew-tap.git,Ruby
1162,icloud-backup-utils,4,1,4,0,[],Scripts creating backups of iCloud data.,1,mit,https://github.com/josh/icloud-backup-utils.git,Shell
1163,imdb-trakt-sync,22,1,22,0,"['docker', 'trakt', 'imdb']",Sync IMDb to Trakt,2,mit,https://github.com/josh/imdb-trakt-sync.git,Shell
1164,itunes-trakt,1,1,1,0,[],Sync iTunes Library data to Trakt.,1,mit,https://github.com/josh/itunes-trakt.git,Shell
1165,josh,1,1,1,0,[],,1,,https://github.com/josh/josh.git,
1166,jquery-selector-set,219,17,219,0,"['javascript', 'jquery']",,7,mit,https://github.com/josh/jquery-selector-set.git,JavaScript
1167,launchdns,74,7,74,0,"['c', 'launchd', 'dns']",A launchd friendly development DNS server,4,mit,https://github.com/josh/launchdns.git,Shell
1168,list-unsubscribe,59,5,59,0,[],"Magic ""Unsubscribe"" IMAP folder",3,mit,https://github.com/josh/list-unsubscribe.git,Ruby
1169,nack,178,6,178,0,[],Node powered Rack server,2,mit,https://github.com/josh/nack.git,CoffeeScript
1170,offlineimap-gmail,2,0,2,0,[],,1,mit,https://github.com/josh/offlineimap-gmail.git,Dockerfile
1171,overcast-sonos,181,16,181,0,"['sonos', 'overcast', 'smapi']",Listen to your Overcast podcasts on Sonos.,3,mit,https://github.com/josh/overcast-sonos.git,PHP
1172,pdftotext,8,4,8,0,"['aws', 'lambda', 'xpdf']",Service for extracting text from PDFs,3,mit,https://github.com/josh/pdftotext.git,Shell
1173,python-tickerd,0,0,0,0,[],Run dumb python scripts in a loop,1,mit,https://github.com/josh/python-tickerd.git,Dockerfile
1174,rack-openid,139,50,139,0,[],Provides a more HTTPish API around the ruby-openid library,9,mit,https://github.com/josh/rack-openid.git,Ruby
1175,rails,33,6,33,0,[],Ruby on Rails,30,,https://github.com/josh/rails.git,Ruby
1176,rails-behaviors,272,19,272,0,[],Rails UJS Behaviors for jQuery and Zepto,10,mit,https://github.com/josh/rails-behaviors.git,CoffeeScript
1177,scroll-anchoring,47,2,47,0,[],Preserves the user's scroll position while DOM mutations change the page.,1,mit,https://github.com/josh/scroll-anchoring.git,HTML
1178,selector-observer,180,18,180,3,[],Allows you to monitor DOM elements that match a CSS selector,4,mit,https://github.com/josh/selector-observer.git,JavaScript
1179,artfully_ose,0,0,0,0,[],Open-source Rails engine that powers Artful.ly and Artfully Open Source Edition.,3,agpl-3.0,https://github.com/cdcarter/artfully_ose.git,Ruby
1180,backpacking,58,6,58,0,[],An Io web framework of sorts,2,mit,https://github.com/cdcarter/backpacking.git,Io
1181,bitstarter,0,0,0,0,[],,2,,https://github.com/cdcarter/bitstarter.git,JavaScript
1182,bootstrap,1,0,1,0,[],"HTML, CSS, and JS toolkit from Twitter",30,apache-2.0,https://github.com/cdcarter/bootstrap.git,JavaScript
1183,bootstrap-visualforce-101,0,0,0,0,[],,1,,https://github.com/cdcarter/bootstrap-visualforce-101.git,
1184,cdcarter.github.com,1,0,1,0,[],,30,,https://github.com/cdcarter/cdcarter.github.com.git,HTML
1185,chicago-atlas,0,0,0,0,[],View citywide information about health trends and take action near you to improve your own health.,2,,https://github.com/cdcarter/chicago-atlas.git,Ruby
1186,chill,0,0,0,0,[],chill plugs ruby code in to CouchDB,1,bsd-3-clause,https://github.com/cdcarter/chill.git,HTML
1187,commonjs-date-formatting,1,0,1,0,[],PHP style strftime date formatting for CommonJS apps.,2,,https://github.com/cdcarter/commonjs-date-formatting.git,JavaScript
1188,cookiecutter-django,0,0,0,0,[],Cookiecutter Django is a framework for jumpstarting production-ready Django projects quickly.,30,bsd-3-clause,https://github.com/cdcarter/cookiecutter-django.git,Python
1189,cookiecutter-django-rest,0,0,0,0,[],Build best practiced apis fast with Python3,15,mit,https://github.com/cdcarter/cookiecutter-django-rest.git,Python
1190,couchapp,1,0,1,0,[],Utilities to make standalone CouchDB application development simple,16,apache-2.0,https://github.com/cdcarter/couchapp.git,Python
1191,crowdbuilder,0,0,0,0,[],,2,,https://github.com/cdcarter/crowdbuilder.git,Apex
